Goal,X,Y,C,Distance,Angle
0,12.0,30,20.0,18.10414317221337,0.28538343785592213
0,27.0,69,19.0,30.92321134681843,0.21664654330856858
0,23.0,30,20.0,27.426674971640292,0.23485320035665017
0,14.0,49,1.0,14.71436373072244,0.4871742337477153
0,4.0,27,23.0,15.528763633979365,0.13418083006105208
0,34.0,31,19.0,37.775818985165635,0.1827982972936666
0,11.0,44,6.0,12.190672663967318,0.5587877543959542
0,12.0,57,7.0,13.396361446303246,0.5069724665686698
1,3.0,48,2.0,3.4077118422777475,1.647973806608485
0,22.0,39,11.0,24.181242730678672,0.2877448652568952
0,30.0,41,9.0,32.03860952038961,0.22379124762309097
0,22.0,73,23.0,27.51567734946752,0.22356025782715727
0,23.0,33,17.0,26.557955493599277,0.25013488256510324
0,19.0,65,15.0,22.20506698931575,0.29553177312558315
1,11.0,45,5.0,11.998541578041891,0.5746282275003937
1,7.0,62,12.0,10.71739240673775,0.4875473980128381
1,13.0,43,7.0,14.388363353766126,0.4763868532411363
0,27.0,50,0.0,28.35,0.25678076017614215
0,24.0,49,1.0,25.208381542653626,0.2882739729481942
0,6.0,69,19.0,13.864072273325755,0.2523954192191739
0,24.0,55,5.0,25.40870913682944,0.2838966163814666
0,20.0,36,14.0,22.88689581398054,0.29252713991186646
0,5.0,64,14.0,10.505831713862543,0.37729531977152453
0,16.0,67,17.0,20.108269443191773,0.304759894270646
0,12.0,34,16.0,16.33768649472746,0.34891490595427527
0,27.0,63,13.0,29.582511725680092,0.2363205341625181
0,29.0,36,14.0,31.78069382502528,0.22002972434351686
0,20.0,56,6.0,21.359073013593076,0.33412750668460783
0,12.0,26,24.0,20.052929960482086,0.2329605153822246
0,11.0,70,20.0,17.38972397710786,0.28459853384550277
0,14.0,62,12.0,16.641213898030394,0.3876504547249745
0,22.0,55,5.0,23.327505224519832,0.30840934692148025
0,11.0,39,11.0,13.583997938751317,0.458874034466134
0,10.0,68,18.0,15.720687007888682,0.31768371181991284
0,24.0,53,3.0,25.275333825688634,0.2868003435188237
0,18.0,44,6.0,19.298186443290465,0.36780864688627385
